句子ID,英文句子,中文翻译,RB (标注人数),LEB (标注人数),M (标注人数),NB (标注人数),总标注次数,参与标注被试数
句子21,"New leader had promised levels of female representation comparable to those in Iceland, where six of cabinet of 11 are women.",新领导人承诺，女性在内阁中的代表性水平将与冰岛相当，冰岛11名内阁成员中有6名是女性。,16,8,3,10,37,30
句子22,Sanae Takaichi made history on Tuesday when she became Japan’s first female prime minister.,高市早苗周二创造了历史，成为日本首位女首相。,12,11,1,11,35,30
句子23,"But hours after she was elected by MPs, it was evident that female under representation in the country’s political establishment would continue when she appointed just two women to her cabinet.",然而，在她当选后几个小时，就显而易见，日本政界女性代表性不足的现状仍将继续，因为她内阁中仅任命了两名女性。,17,14,2,5,38,30
句子24,"Takaichi had promised levels of female representation in her government comparable to those in Iceland, Finland and Norway.",高市曾承诺，她领导的政府中女性代表的比例将与冰岛、芬兰和挪威等国的女性代表比例相当。,9,6,3,15,33,30
句子25,"Satsuki Katayama, who became the first woman to hold the post of finance minister, was joined by Kimi Onoda as economic security minister in Takaichi’s 19-member cabinet.",成为首位担任财务大臣的女性片山五月与担任经济安全大臣的小野田贵美一同组成了高市的19人内阁。,14,9,3,10,36,30
句子26,"Six of Iceland’s 11 cabinet members are women, including the prime minister, Kristrún Frostadóttir, and in Finland women occupy 11 of 19 cabinet posts.",冰岛 11 名内阁成员中有 6 名是女性，其中包括总理克里斯特伦·弗罗斯塔多蒂尔;芬兰 19 个内阁职位中有 11 个由女性担任。,10,8,2,14,34,30
句子27,"Takaichi’s immediate predecessor, Shigeru Ishiba, appointed two women to his cabinet but the record is five, under Ishiba’s predecessor Fumio Kishida.",高市的前任石破茂任命了两名女性内阁成员，但在石破茂的前任岸田文雄的领导下，任命了五名女性。,11,11,4,9,35,30
句子28,"Takaichi, an ultra-conservative whose Liberal Democratic party (LDP) has formed a coalition with a minor party that shares her hawkish approach to defence and revisionist views on wartime history, has said she wants to raise awareness of women’s health and has spoken about her own experience of menopause.",高市是一位极度保守的人士，她所在的自民党与一个小党组成了联盟，该小党在国防问题上持鹰派立场，并在战争历史问题上持有修正主义观点。高市表示，她希望提高人们对女性健康的认识，并谈到了自己更年期的经历。,8,16,5,11,40,30
句子29,"But like her political hero Margaret Thatcher, Takaichi will be guided by the social conservatism that made her the popular choice among MPs and rank-and-file members on the right of the LDP when she ran for the party leadership this month.",但与她的政治偶像玛格丽特·撒切尔一样，高市将秉持社会保守主义，正是这种保守主义使她在本月竞选自民党党魁时，成为议员和自民党右翼普通党员的热门人选。,9,12,2,13,36,30
句子30,"She opposes revising a 19th-century law requiring married couples to use the same surname, arguing that allowing women to retain their maiden names would chip away at traditional family values.",她反对修改 19 世纪的一项法律，该法律要求已婚夫妇使用相同的姓氏，她认为允许女性保留娘家姓会削弱传统的家庭价值观。,13,13,3,5,34,30
句子31,She also opposes calls for changes to succession laws to allow female members of the imperial household – which has few male heirs – to become reigning empresses.,她也反对皇室继承法允许皇室女性成员（因为皇室男性继承人很少）成为在位皇后的修改。,15,8,5,7,35,30
句子32,"She has spoken out against discrimination towards members of the LGBTQ+ community, but opposes same-sex marriage.",她曾公开反对对LGBTQ+群体成员的歧视，但反对同性婚姻。,12,10,9,13,44,30
句子33,"""The prospect of a first female prime minister doesn’t make me happy,"" the sociologist Chizuko Ueno said in a post on X.",社会学家上野千鹤子在X网站上发帖称:“首位女首相的前景并没有让我感到高兴。”,11,19,8,8,46,30
句子34,"Takaichi’s leadership would elevate Japan’s gender equality ranking, Ueno said, but added ""that doesn’t mean Japanese politics will become kinder to women"".",上野表示，高市的领导将提升日本的性别平等排名，但她补充说，“但这并不意味着日本政坛会对女性更加友好”。,9,12,4,15,40,30
句子35,Others were optimistic that Takaichi’s appointment would lower the psychological barriers to women entering public life.,另一些人则乐观地认为，高市的任命将降低女性进入公共领域的心理障碍。,13,10,2,14,39,30
句子36,"""There is great significance in Takaichi becoming prime minister, with a broader impact on society,"" Naomi Koshi, who became Japan’s youngest female mayor in 2012 aged 36, told the Kyodo news agency. “",高市出任首相意义重大，对社会有着更广泛的影响，”2012年以36岁之龄成为日本最年轻的女市长的小嶋直美告诉共同社。,15,17,4,7,43,30
句子37,Takaichi had a comparatively small pool of female MPs from which to appoint her cabinet.,高市可选择的内阁成员中，女性议员人数相对较少。,14,8,4,11,37,30
句子38,"Even though a record 73 women were elected in last year’s lower house elections, they still comprise only 15.7% of the chamber’s 465 MPs.",尽管去年众议院选举中，创纪录的73名女性当选，但她们仍然只占众议院465名议员的15.7%。,13,10,4,11,38,30
句子39,"According to the World Economic Forum’s 2025 gender gap index, Japan ranked 118th out of 148 countries.",根据世界经济论坛发布的2025年性别差距指数，日本在148个国家中排名第118位。,8,7,1,18,34,30
句子40,"Thailand’s prime minister, Paetongtarn Shinawatra, has declared £324m in assets including a collection of 217 designer handbags and 75 luxury watches in submissions on her wealth to a government body.",泰国总理帕通坦·西那瓦向政府机构申报了价值 3.24 亿英镑的资产，其中包括 217 个名牌手袋和 75 块名表。,8,5,2,20,35,30
句子41,"Paetongtarn, daughter of the billionaire ex-prime minister Thaksin Shinawatra, took office in September, the fourth member of the powerful family to lead Thailand.",亿万富翁前总理他信·西那瓦的女儿佩通坦于9月就职，成为领导泰国的第四位来自这个强大家族的成员。,10,14,1,11,36,30
句子42,"Details of her wealth were revealed in declarations made to the National Anti-Corruption Commission (NACC), which is a requirement for those who hold public office and implies no suggestion of wrongdoing.",她的财富详情是在向国家反腐败委员会（NACC）提交的申报表中披露的，这是担任公职人员的必要条件，并不意味着存在任何不当行为。,7,7,1,19,34,30
句子43,"According to an NACC document published in local media, Paetongtarn declared investments worth more than £250m, and another £23m in deposits and cash.",根据当地媒体公布的一份国家反腐败委员会（NACC）文件，佩通坦申报的投资额超过2.5亿英镑，另有2300万英镑的存款和现金。,5,6,3,21,35,30
句子44,"The declaration, which listed land in Japan and properties in London, also included 75 watches worth £3.8m, 217 handbags worth £1.8m, 23 vehicles worth £1.6m, 205 sets of earrings worth £1.2m and 67 necklaces worth £800,000.",申报清单中列出了在日本的土地和在伦敦的房产，还包括价值380万英镑的75块手表、价值180万英镑的217个手提包、价值160万英镑的23辆汽车、价值120万英镑的205副耳环以及价值80万英镑的67条项链。,9,7,3,17,36,30
句子45,"She also declared liabilities of nearly £117m, giving her a net worth of £208m.",她还申报了近 1.17 亿英镑的负债，使她的净资产达到 2.08 亿英镑。,2,9,1,21,33,30
句子46,The extent of Paetongtarn’s wealth is unlikely to surprise most Thai voters.,帕通坦的财富规模恐怕不会让大多数泰国选民感到惊讶。,8,8,2,18,36,30
句子47,"Her father, who made his fortunes in telecommunications and once owned Manchester City football club, has a net worth of £1.7bn, according to Forbes, making him the 10th richest person in Thailand.",她的父亲靠电信业发家，曾拥有曼城足球俱乐部，据《福布斯》报道，其净资产高达17亿英镑，位列泰国第十大富豪。,10,9,1,17,37,30
句子48,"Paetongtarn is often pictured in high-end designer clothes, from Chanel jackets and bags to Gucci shoes, while out on political engagements or in her own Instagram posts.",佩通坦经常身着高端设计师服装出现在公众视野中，从香奈儿外套和包包到古驰鞋子，无论是出席政治活动还是在她自己的 Instagram 帖子中。,11,16,2,9,38,30
句子49,"She is not the only Thai politician with expensive taste, however.",然而，她并非唯一一位品味高雅的泰国政客。,11,16,6,11,44,30
句子50,Her rivals are also known for sporting designer labels and expensive watches.,她的竞争对手也以佩戴名牌服饰和名表而闻名。,10,15,5,13,43,30
句子51,"Prawit Wongsuwon, a former army general and part of the junta that took power after Paetongtarn’s aunt Yingluck was ousted, became infamous for a collection of more than 20 luxury watches that he was spotted wearing in public but had not declared to the NACC.",前陆军将领、在帕通坦的姑姑英拉被罢黜后掌权的军政府成员巴威·翁素旺，因拥有超过20块名表而臭名昭著。他曾多次被发现公开佩戴这些名表，但并未向国家反腐败委员会（NACC）申报。,11,15,3,11,40,30
句子52,"Prawit said he had borrowed them from a dead friend – a claim that was ridiculed by many, though he was cleared of any wrongdoing by the NACC in 2018.",巴威声称这些手表是从一位已故朋友那里借来的——这一说法遭到了许多人的嘲笑，尽管他在2018年被国家反腐败委员会认定无罪。,5,9,4,16,34,30
句子53,The Shinawatra family has dominated Thai politics since Thaksin was first elected prime minister in 2001.,自他信于 2001 年首次当选总理以来，西那瓦家族一直主导着泰国政坛。,5,5,1,22,33,30
句子54,"He went on to develop a loyal following among rural voters in the north, but was loathed by the military royalist establishment, which ousted him and other family members from power.",他信在北部农村选民中发展了一批忠实的追随者，但却遭到保皇派军政府的憎恨，最终他和家族其他成员被赶下了台。,5,9,3,18,35,30
句子55,"Much has changed since Thaksin first soared to popularity, however.",然而，自从他信最初声名鹊起以来，情况已发生了很大变化。,5,9,3,18,35,30
句子56,"The family, once seen as unbeatable at the ballot box, was surpassed by a newer, more progressive party, Move Forward, in the 2023 elections.",这个一度被视为选举中不可战胜的家族，在2023年的选举中被一个更新、更进步的政党——前进党——超越。,5,10,3,17,35,30
句子57,"Thaksin’s Pheu Thai party formed a deal with its old rivals to keep this newer party, now a mutual enemy, from power – a deal that proved controversial among its supporters. 。",他信领导的为泰党与昔日的竞争对手达成协议，阻止这个如今已成为共同敌人的新兴政党上台执政——这项协议在其支持者中引发了争议。,7,8,3,20,38,30
