model_key,model_string,provider,rep,article,sentence_id,labels,rationale,utc_time
gpt,gpt-5.4-2026-03-05,openai-official,1,P2,11,NB,句子陈述其反对女性皇室成员成为在位皇后的政策立场，属于事实报道，本句本身未使用偏见性描述或错称。,2026-07-12T16:01:35Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P2,12,NB,句子是在概述其对LGBTQ+议题和同性婚姻的立场，不涉及性别刻板印象、对不同性别的不对等评价或错误性别指称。,2026-07-12T16:01:35Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P2,13,NB,引语表达的是对“首位女首相前景”的个人政治判断，并未贬抑女性作为一类群体，也无刻板角色绑定或错称。,2026-07-12T16:01:35Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P2,14,NB,句子讨论其领导对性别平等排名及女性处境的影响，是社会评论，不含RB、LEB或M。,2026-07-12T16:01:35Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P2,15,NB,句子认为其任命可能降低女性进入公共生活的心理障碍，是关于社会影响的正面判断，不构成偏见。,2026-07-12T16:01:35Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P2,16,NB,“最年轻的女市长”是在提供人物背景与成就信息，虽提及年龄和性别，但与其公共身份直接相关，未见不必要贬抑或不对等评价。,2026-07-12T16:01:35Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P2,17,NB,句子说明可供任命的女性议员基数较小，是结构性代表问题的描述，不含偏见性语言。,2026-07-12T16:01:35Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P2,18,NB,句子提供女性议员人数及占比的统计事实，没有刻板化、评价失衡或错称。,2026-07-12T16:01:35Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P2,19,NB,句子是关于日本性别差距排名的客观数据陈述，不包含任何所定义的性别偏见类型。,2026-07-12T16:01:35Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P3,1,NB,句子主要陈述其申报资产及其中包含的物品，虽提到“designer handbags”，但属于资产清单事实描述，未明显将性别角色、特质或职业刻板关联，也无不对等评价或错误性别指称。,2026-07-12T16:01:47Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P3,2,NB,句子说明其家族背景和就职信息，“daughter of the billionaire ex-prime minister”是在交代政治家族关系，未体现性别刻板印象、不对等评价或错称。,2026-07-12T16:01:47Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P3,3,NB,句子是对财富申报程序的说明，并强调“不意味着存在任何不当行为”，没有性别化偏见。,2026-07-12T16:01:47Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P3,4,NB,句子客观列举其投资、存款和现金数额，没有性别相关刻板印象、评价失衡或错误指称。,2026-07-12T16:01:47Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P3,5,LEB,句子在资产清单中突出“217 handbags”“205 sets of earrings”“67 necklaces”等带有明显女性化消费符号的细节，在报道女性政治人物时这种对个人化、装饰性物品的强调，弱化了专业身份，符合不必要个人化描述的语言评估偏见。,2026-07-12T16:01:47Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P3,6,NB,句子仅说明负债与净资产情况，无性别偏见。,2026-07-12T16:01:47Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P3,7,NB,句子评论公众对其财富“不太惊讶”，针对的是其财富背景，并非基于性别的刻板印象或不对等评价。,2026-07-12T16:01:47Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P3,8,NB,句子介绍其父亲的财富来源和排名，是背景信息，无性别偏见。,2026-07-12T16:01:47Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P3,9,LEB,句子强调她“often pictured in high-end designer clothes”以及“Chanel jackets and bags to Gucci shoes”，在政治报道中聚焦女性政治人物外表、服饰和社媒形象，属于对女性不必要的个人化/外貌化描述，弱化专业性。,2026-07-12T16:01:47Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P3,10,NB,句子只是说明她不是唯一有昂贵品味的泰国政客，没有性别刻板或不对等评价。,2026-07-12T16:01:47Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P3,11,NB,句子将类似消费习惯扩展到其竞争对手，未出现性别化刻板印象或评价失衡。,2026-07-12T16:01:47Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P3,12,NB,句子描述一位男性政治人物未申报名表而“臭名昭著”，这是针对其行为的新闻评价，不涉及基于性别的不对等描述。,2026-07-12T16:01:47Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P3,13,NB,句子叙述其辩解遭嘲笑及后续调查结果，未体现性别偏见。,2026-07-12T16:01:47Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P3,14,NB,句子概述家族在泰国政治中的影响力，无性别偏见。,2026-07-12T16:01:47Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P3,15,NB,句子描述政治支持与对立关系，无性别偏见。,2026-07-12T16:01:47Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P3,16,NB,句子为一般性政治背景转折，无性别偏见。,2026-07-12T16:01:47Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P3,17,NB,句子比较政党选举表现，无性别偏见。,2026-07-12T16:01:47Z
gpt,gpt-5.4-2026-03-05,openai-official,1,P3,18,NB,句子描述政党结盟与争议，无性别偏见。,2026-07-12T16:01:47Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,1,NB,句子讨论“biological sex”与“gender identity”的政策/法律争议，未直接对某一性别作刻板角色关联、差异化评价或错误性别指称。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,2,NB,该句批评“activists”与公共机构中的观念扩张，未出现针对男性/女性的刻板印象、评价不对等或错称性别。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,3,NB,句子聚焦机构领导者屈从压力及其后果，不涉及性别化角色刻板印象、差异化语言评价或错误性别指称。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,4,NB,句子描述“gender-questioning children and young people”被开具药物，虽涉及性别议题，但未对男性/女性作刻板化描述，也无明显错称性别。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,5,NB,句子谈及为遭受性侵的女性提供单一性别服务，属于政策/服务对象描述，未体现RB、LEB或M。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,6,LEB,句子用“Male rapists and sex offenders who say they believe they are really women”来指称自认同为女性者，带有明显贬抑和否定其性别认同的措辞（“say they believe they are really women”），体现对该群体的负面评价性表述。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,7,NB,句子讨论警方限制言论自由，未出现性别刻板印象、对不同性别的不对等评价或错误性别指称。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,8,NB,虽提到“particularly women”，但只是说明受影响群体，并未将职业/特质与性别刻板绑定，也无评价不对等或错称。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,9,NB,句子讨论官方数据与“gender ideology”，未直接对某一性别进行刻板化、差异化评价或错误指称。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,10,NB,句子陈述审查委托背景及“grassroots feminist group”诉讼，未体现RB、LEB或M。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,11,NB,句子强调缺乏按性别区分的数据会影响对男女不同处境的理解，属于政策论述，不构成偏见标注类型。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,12,NB,句子描述病历性别记录不准对跨性别者和医学检测的影响，未出现刻板印象、评价不对等或明确错称。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,13,LEB+M,句子将“identify as female”的对象称为“male perpetrators”，在性别认同层面构成与其自我认同不符的性别指称；同时该表述将其身份请求置于犯罪语境中，带有明显负面评价色彩。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,14,NB,句子讨论“male violence”的社会认知，虽提及男性，但属统计/社会现象表述，未明显构成刻板角色绑定、评价不对等或错称。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,15,NB,句子是对前文危害的总结，不涉及具体性别化刻板印象、评价偏差或错误指称。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,16,NB,句子提出数据收集建议，属于政策主张，不体现RB、LEB或M。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,17,NB,句子说明政府对准确数据收集的立场，未出现性别偏见类型。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,18,NB,句子谈及政策执行与“gender-questioning children”的健康记录，未对男性/女性作刻板化或差异化评价，也无明确错称。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,19,NB,句子明确支持保护跨性别者免受歧视，未体现任何所定义的偏见类型。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P1,20,NB,句子批评组织对“sex is immaterial”的误解及其后果，属于政策评价，不直接构成RB、LEB或M。,2026-07-12T16:01:57Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P2,1,NB,句子是在陈述女性代表性承诺及冰岛内阁中的女性人数，没有将职业/特质与性别刻板绑定，也无不对等评价或错误性别指称。,2026-07-12T16:02:07Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P2,2,NB,“首位女首相”是在报道其历史性身份，属于事实性描述，不构成刻板印象、不对等评价或错称性别。,2026-07-12T16:02:07Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P2,3,NB,句子讨论日本政界女性代表性不足，是对性别比例现状的描述，没有强化性别刻板印象，也无评价失衡或错称。,2026-07-12T16:02:07Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P2,4,NB,句子仅重述其关于女性代表比例的承诺，没有把某种角色或特质本质化为某一性别，也无不对等修饰。,2026-07-12T16:02:07Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P2,5,NB,“首位担任财务大臣的女性”是对历史事实的说明，句子未对女性作不必要私人化描写，也无刻板角色绑定或错称。,2026-07-12T16:02:07Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P2,6,NB,句子是关于冰岛和芬兰女性阁员比例的统计信息，没有体现RB、LEB或M。,2026-07-12T16:02:07Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P2,7,NB,句子比较不同首相任命女性阁员的人数，属于事实性政治代表数据，不含偏见性措辞。,2026-07-12T16:02:07Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P2,8,NB,虽提到“女性健康”和其“更年期经历”，但这是与其政策表态直接相关的内容，并非明显不必要的私人化贬抑；也无刻板印象或错称。,2026-07-12T16:02:07Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P2,9,NB,句子评价的是其政治立场与党内支持基础，不是基于性别的刻板描述，也无对男女不对等评价。,2026-07-12T16:02:07Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P2,10,NB,句子报道她对已婚夫妇同姓及女性保留娘家姓的立场，属于政策观点转述，不是记者以刻板语言直接编码性别偏见。,2026-07-12T16:02:07Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P2,11,NB,句子是在陈述其反对女性皇室成员成为在位皇后的政策立场，未出现语言层面的性别刻板化、评价失衡或错称。,2026-07-12T16:02:07Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P2,12,NB,句子描述其对LGBTQ+歧视和同性婚姻的立场，不涉及对某一性别的隐性偏见分类。,2026-07-12T16:02:07Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P2,13,NB,引语表达的是对“首位女首相前景”的个人政治判断，并未使用贬损女性的刻板化语言，也无错称。,2026-07-12T16:02:07Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P2,14,NB,句子讨论其领导对性别平等排名和女性处境的潜在影响，是对政治后果的评论，不含RB、LEB或M。,2026-07-12T16:02:07Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P2,15,NB,句子认为其任命可能降低女性进入公共生活的心理障碍，是关于社会影响的正面判断，不构成偏见。,2026-07-12T16:02:07Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P2,16,NB,“最年轻的女市长”是在说明其身份与成就背景，年龄信息也与“最年轻”这一头衔直接相关，不属于不必要的性别化贬抑。,2026-07-12T16:02:07Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P2,17,NB,句子说明可供任命的女性议员基数较小，是代表性现状描述，不含刻板印象或评价偏差。,2026-07-12T16:02:07Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P2,18,NB,句子提供女性议员人数和占比的统计数据，没有任何性别化评价或错误指称。,2026-07-12T16:02:07Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P2,19,NB,句子是世界经济论坛性别差距排名的客观数据陈述，不涉及隐性性别偏见。,2026-07-12T16:02:07Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P3,1,NB,句子主要陈述其申报资产及其中包含的物品，虽提到“designer handbags”，但属于资产事实描述，未明显将性别角色、能力或评价与其性别绑定。,2026-07-12T16:02:15Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P3,2,NB,句子说明其家族背景和政治世家身份，“daughter of”是事实性亲属关系说明，未体现性别刻板印象、不对等评价或错误性别指称。,2026-07-12T16:02:15Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P3,3,NB,句子解释财富披露的制度背景，并明确“不意味着存在任何不当行为”，没有性别化刻板印象或不对等评价。,2026-07-12T16:02:15Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P3,4,NB,句子为资产申报数字信息，没有性别相关偏见。,2026-07-12T16:02:15Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P3,5,LEB,在政治人物财富报道中，详细列出“217 handbags”“205 sets of earrings”“67 necklaces”等带有明显女性化消费特征的物品，形成对女性政治人物较个人化、生活化的呈现，弱化专业身份，符合不必要个人化描述的语言评估偏见。,2026-07-12T16:02:15Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P3,6,NB,句子仅陈述负债与净资产，没有性别偏见。,2026-07-12T16:02:15Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P3,7,NB,句子评论公众对其财富规模“不太惊讶”，针对的是财富与选民反应，不涉及性别化刻板印象或不对等评价。,2026-07-12T16:02:15Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P3,8,NB,句子介绍其父亲的财富与排名，属背景信息，无性别偏见。,2026-07-12T16:02:15Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P3,9,LEB,句子强调她“often pictured in high-end designer clothes”以及“Chanel…Gucci”等穿着细节，在政治报道中对女性外表与服饰的突出属于不必要的个人化描述，可能削弱其专业政治身份。,2026-07-12T16:02:15Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P3,10,NB,句子只是说明她并非唯一有昂贵品味的泰国政客，没有性别偏见。,2026-07-12T16:02:15Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P3,11,NB,句子将类似消费习惯扩展到其竞争对手，未出现基于性别的不对等评价。,2026-07-12T16:02:15Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P3,12,NB,句子批评的是未申报名表行为及其后果，针对具体政治伦理问题，不是性别偏见。,2026-07-12T16:02:15Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P3,13,NB,句子描述其辩解被嘲笑及最终被认定无罪，未涉及性别偏见。,2026-07-12T16:02:15Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P3,14,NB,句子概述家族长期主导政治，未体现性别偏见。,2026-07-12T16:02:15Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P3,15,NB,句子描述政治支持与对立关系，没有性别相关内容。,2026-07-12T16:02:15Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P3,16,NB,句子为一般性政治形势转折，无性别偏见。,2026-07-12T16:02:15Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P3,17,NB,句子描述选举结果与政党竞争，没有性别偏见。,2026-07-12T16:02:15Z
gpt,gpt-5.4-2026-03-05,openai-official,2,P3,18,NB,句子讨论政党结盟与政治争议，不涉及性别偏见。,2026-07-12T16:02:15Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,1,NB,句子讨论“biological sex”与“gender identity”的政策/法律争议，未直接对某一性别作刻板角色关联、差异化评价或错误性别指称。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,2,NB,该句批评“activists”和公共机构中的观念扩张，未出现针对男性/女性/跨性别者的职业刻板印象、差异化语言评价或明确错称代词/性别称谓。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,3,NB,句子评价的是“leaders”对“activist pressures”的回应，不涉及性别化角色刻板印象、对不同性别的不对等描述或错称。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,4,NB,句子提到“gender-questioning children and young people”接受药物治疗，是政策/医疗实践描述；未见对男女角色刻板化、差异化修饰或错误性别指称。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,5,NB,句子谈及为“women who have been sexually assaulted”提供单一性别服务，属于服务对象描述，本身未体现RB、LEB或M。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,6,LEB,句子用“Male rapists and sex offenders who say they believe they are really women”来指称相关对象，带有对其性别认同的贬抑性框定（“say they believe”），在性别相关描述上具有明显负面评价色彩。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,7,NB,句子讨论警方限制言论自由，虽涉及“biological sex is real”的立场，但未对不同性别使用不对等评价，也无刻板角色关联或错称。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,8,NB,句子说拒绝接受该信念体系的人，尤其女性，遭受职场欺凌；这是受害群体描述，不构成对女性的刻板印象、差异化评价或错称。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,9,NB,句子评价“official data sources”受“gender ideology”影响，未直接对某一性别群体进行刻板化、差异化评价或错称。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,10,NB,句子叙述审查委托背景及“grassroots feminist group”诉讼，未出现性别偏见标签所定义的内容。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,11,NB,句子强调缺乏按性别区分的数据会影响对“men and women differently”的理解，这是分析框架描述，不属于RB、LEB或M。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,12,M,句子称“trans people are not being called for their relevant sex-specific cancer screenings”，以“sex-specific”筛查需求覆盖“trans people”，按出生性别而非其性别认同来框定对象，构成性别指称上的不一致/错置。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,13,LEB+M,句子将对象表述为“male perpetrators saying they identify as female”，以“male”直接指称自认女性者，并用“saying they identify”弱化其身份认同，既有错误性别指称，也有贬抑性评价框定。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,14,NB,句子讨论“male violence”的社会理解，是关于犯罪统计与社会现象的概括，不构成刻板职业/角色关联、差异化评价或错称。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,15,NB,这是对前文例子的总结，未新增任何性别刻板印象、评价偏差或错称。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,16,NB,句子提出数据收集应区分“sex”和“trans status”，属于政策主张，不直接体现RB、LEB或M。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,17,NB,句子说明政府认为准确数据重要，未涉及性别化刻板印象、差异化评价或错称。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,18,M,句子说停止向“gender-questioning children”发放带有“不准确性别标记”的记录，将相关儿童的性别认同框定为可疑/不准确的标记问题，涉及对其性别身份的错误指称处理。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,19,NB,句子明确支持对“trans people”免受歧视的保护，没有出现偏见性刻板印象、差异化评价或错称。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P1,20,NB,句子批评组织将“sex”视为不重要的做法，属于政策评价，不直接对某一性别群体进行刻板化、差异化评价或错称。,2026-07-12T16:02:26Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P2,1,NB,句子是在陈述女性内阁代表比例承诺及冰岛的数据，没有将职业、特质或角色刻板地与某一性别绑定，也无不对等评价或错误性别指称。,2026-07-12T16:02:37Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P2,2,NB,“首位女首相”是在报道其历史性身份，属于与新闻主题直接相关的事实描述，不构成刻板印象、不对等评价或错称。,2026-07-12T16:02:37Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P2,3,NB,句子描述日本政界“女性代表性不足”的现状及仅任命两名女性的事实，是对性别比例失衡的报道，不是在强化性别刻板印象。,2026-07-12T16:02:37Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P2,4,NB,句子继续陈述其关于女性代表比例的承诺，属于事实性政治表述，无RB、LEB或M。,2026-07-12T16:02:37Z
gpt,gpt-5.4-2026-03-05,openai-official,3,P2,5,NB,“首位担任财务大臣的女性”是在说明历史突破与职位信息，未出现贬抑性评价、刻板角色绑定或错误性别指称。,2026-07-12T16:02:37Z
